SiteName,Pycnanthus_sociatus,ACTINIARIA,Procephalothrix_sp,Lineidae,HOPLONEMERTEA,Phoronis_sp,Lingula_unguis,Lingula_sp,Patelloida_conulus,Umbonium_moniliferum,Umbonium_sp,Diffalaba_picta,Batillaria_multiformis,Batillaria_zonalis,Eufenella_rufocincta,Assiminea_sp,Stenothyra_edogawensis,Euspira_fortunei,Glossaulax_didyma,Cryptonatica_sp,Tectonatica_tigrina,Eunaticina_papilla,Columbellopsis_bella,Hima_festiva,Dunkeria_shigeyasui,Paracingulina_triarata,Japanacteon_nipponensis,Musculista_senhousia,Crassostrea_gigas,Pillucina_pisidium,Cycladicama_tsuchii,Nipponomysella_oblongata,Montacutidae,Mactra_chinensis,Mactra_veneriformis,Moerella_rutila,Nitidotellina_minuta,Nuttallia_japonica,Solen_strictus,Phacosoma_japonicus,Ruditapes_philippinarum,Meretrix_lusoria,Mya_arenaria,Laternula_marilina,Bhawania_goodei,Eteone_sp,Glycera_macintoshi,Glycera_onomichiensis,Hemipodia_yenourensis,Glycinde_nipponica,Sigambra_sp,Ceratonereis_erythraeensis,Hediste_sp,Nectoneanthes_latipoda,Platynereis_bicanaliculata,Nephtys_polybranchia,Diopatra_sugokai,Scoletoma_longifolia,Scoletoma_nipponica,Leitoscoloplos_pugettensis,Aonides_oxycephala,Polydora_sp,Prionospio_japonica,Pseudopolydora_sp,Rhynchospio_glutaea,Scolelepis_kudenovi,Spio_sp,Cirriformia_tentaculata,Capitella_sp,Heteromastus_sp,Mediomastus_sp,Notomastus_sp,Armandia_lanceolata,Owenia_fusiformis,Pectinaria_sp,Polycirrinae,Nymphonella_tapetis,Amphibalanus_variegatus,Fistulobalanus_albicostatus,Ampithoe_valida,Grandidierella_japonica,Monocorophium_acherusicum,Melita_shimizui,Monoculodes_limnophilus,Urothoe_gelasina,Eohaustorius_sp,Caprella_penantis,Synidotea_sp,Gnorimosphaeroma_sp,Sphaeroma_sieboldii,Diastylis_tricincta,Athanas_japonicus,Crangon_sp,Nihonotrypaea_sp,Diogenes_nitidimanus,Diogenes_sp,Pagurus_minutus,Philyra_pisum,Portunus_sp,Hemigrapsus_takanoi,Macrophthalmus_abbreviatus,Acentrogobius_virgatulus
Ako1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1,0,2,5,0,2,2,0,1,0,4,8,15,0,0,0,0,0,58,2,0,0,0,0,0,4,0,2,0,3,0,0,4,0,0,0,0,13,9,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0
Ako2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ako3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nisio1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
Nisio2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,1,0,2,4,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Nisio3,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,8,0,1,0,0,0,10,2,2,0,0,1,0,0
Nakatu1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0,9,0,0,0,0,0,0,131,1,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,0
Nakatu2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,4,61,0,0,4,0,3,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Nakatu3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,3,1
Banzu1,0,0,0,0,1,0,0,0,0,241,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,5,0,1,59,44,1,0,4,8,3,531,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
