"IDceppo" "Specieagg" "area" "identificazione"
"1" 676 "CINGHIALE" "BINAGO" "E.coli"
"2" 672 "CINGHIALE" "BINAGO" "E.coli"
"3" 441 "CINGHIALE" "BINAGO" "E.coli"
"4" 447 "CINGHIALE" "BINAGO" "E.coli"
"5" 461 "CINGHIALE" "BINAGO" "E.coli"
"6" 462 "CINGHIALE" "BINAGO" "E.coli"
"7" 862 "CINGHIALE" "PAVIA" "E.coli"
"8" 467 "CINGHIALE" "BINAGO" "E.coli"
"9" 466 "CINGHIALE" "BINAGO" "E.coli"
"10" 680 "CINGHIALE" "BINAGO" "E.coli"
"11" 679 "CINGHIALE" "BINAGO" "E.coli"
"12" 878 "CINGHIALE" "PAVIA" "E.coli"
"13" 450 "CINGHIALE" "BINAGO" "E.coli"
"14" 525 "CINGHIALE" "BINAGO" "E.coli"
"15" 539 "CINGHIALE" "BINAGO" "E.coli"
"16" 879 "CINGHIALE" "PAVIA" "E.coli"
"17" 675 "CINGHIALE" "BINAGO" "E.coli"
"18" 453 "CINGHIALE" "BINAGO" "E.coli"
"19" 536 "CINGHIALE" "BINAGO" "E.coli"
"20" 532 "CINGHIALE" "PAVIA" "E.coli"
"21" 889 "CINGHIALE" "PAVIA" "E.coli"
"22" 459 "CINGHIALE" "BINAGO" "E.coli"
"23" 880 "CINGHIALE" "PAVIA" "E.coli"
"24" 537 "CINGHIALE" "BINAGO" "E.coli"
"25" 538 "CINGHIALE" "BINAGO" "E.coli"
"26" 520 "CINGHIALE" "PAVIA" "E.coli"
"27" 523 "CINGHIALE" "BINAGO" "E.coli"
"28" 834 "CINGHIALE" "PAVIA" "E.coli"
"29" 674 "CINGHIALE" "BINAGO" "E.coli"
"30" 471 "CINGHIALE" "BINAGO" "E.coli"
"31" 492 "CINGHIALE" "BINAGO" "E.coli"
"32" 611 "CINGHIALE" "Sondrio media valle" "E.coli"
"33" 612 "CINGHIALE" "Sondrio media valle" "E.coli"
"34" 613 "CINGHIALE" "Sondrio media valle" "E.coli"
"35" 615 "CINGHIALE" "Sondrio media valle" "E.coli"
"36" 616 "CINGHIALE" "Sondrio media valle" "E.coli"
"37" 617 "CINGHIALE" "Sondrio media valle" "E.coli"
"38" 618 "CINGHIALE" "LECCO-COMO" "E.coli"
"39" 619 "CINGHIALE" "LECCO-COMO" "E.coli"
"40" 733 "CINGHIALE" "Sondrio media valle" "E.coli"
"41" 734 "CINGHIALE" "LECCO-COMO" "E.coli"
"42" 735 "CINGHIALE" "Sondrio media valle" "E.coli"
"43" 736 "CINGHIALE" "Sondrio media valle" "E.coli"
"44" 737 "CINGHIALE" "Sondrio media valle" "E.coli"
"45" 738 "CINGHIALE" "Sondrio media valle" "E.coli"
"46" 739 "CINGHIALE" "Sondrio media valle" "E.coli"
"47" 740 "CINGHIALE" "Sondrio media valle" "E.coli"
"48" 760 "CINGHIALE" "PREALPI BG" "E.coli"
"49" 954 "CINGHIALE" "PREALPI BG" "E.coli"
"50" 955 "CINGHIALE" "PREALPI BG" "E.coli"
